key,en,zh-Hans,zh-Hant,ar,de,es,fr,id,it,ja,ko,nl,pl,pt,ru,th,tr,vi
a11y.pronounce,Pronounce,发音,發音,نطق,Aussprechen,Pronunciar,Prononcer,Ucapkan,Pronuncia,発音,발음하기,Uitspreken,Wymów,Pronunciar,Произнести,ออกเสียง,Telaffuz et,Phát âm
a11y.remove_from_review,Remove from review,从复习中移除,從複習中移除,إزالة من المراجعة,Aus der Wiederholung entfernen,Eliminar de revisión,Retirer de la révision,Hapus dari ulasan,Rimuovi dalla revisione,復習から削除,복습에서 제거,Verwijderen uit herhaling,Usuń z powtórki,Remover da revisão,Удалить из повторения,ลบออกจากการทบทวน,Tekrardan kaldır,Xóa khỏi ôn tập
a11y.rewind_2s,Rewind 2s (R),后退 2 秒（R）,倒轉 2 秒（R）,ترجيع ٢ ثانية (R),2s zurück (R),Retroceder 2s (R),Reculer de 2 s (R),Mundur 2 detik (R),Indietro di 2 secondi (R),2秒戻る（R）,2초 되감기 (R),2s terugspoelen (R),Przewiń 2s wstecz (R),Retroceder 2s (R),Перемотать на 2 секунды назад (R),กรอกลับ 2 วินาที (R),2 sn geri sar (R),Quay lại 2s (R)
a11y.seek_bar,Seek bar,进度条,進度列,شريط التقدم,Suchleiste,Barra de búsqueda,Barre de recherche,Bilah pencarian,Barra di avanzamento,シークバー,탐색 바,Zoekbalk,Pasek przewijania,Barra de busca,Полоса перемотки,แถบค้นหา,Arama çubuğu,Thanh tua
a11y.speak,Speak,朗读,朗讀,تحدث,Sprechen,Hablar,Parler,Bicara,Parla,発話,말하기,Spreek uit,Mów,Falar,Говорить,พูด,Konuş,Nói
a11y.speed,Speed (M),播放速度（M）,速度（M）,السرعة (M),Geschwindigkeit (M),Velocidad (M),Vitesse (M),Kecepatan (M),Velocità (M),速度 (M),속도 (M),Snelheid (M),Prędkość (M),Velocidade (M),Скорость (М),ความเร็ว (M),Hız (M),Tốc độ (M)
a11y.video_info,Video info,视频信息,影片資訊,معلومات الفيديو,Videoinfo,Información del video,Infos vidéo,Info video,Info video,動画情報,영상 정보,Video-info,Informacje o filmie,Informações do vídeo,Информация о видео,ข้อมูลวิดีโอ,Video bilgisi,Thông tin video
a11y.video_thumbnail,Video thumbnail,视频缩略图,影片縮圖,صورة مصغرة للفيديو,Videominiatur,Miniatura del video,Miniature vidéo,Thumbnail video,Miniatura video,動画サムネイル,영상 썸네일,Videominiatuur,Miniatura filmu,Miniatura do vídeo,Миниатюра видео,ภาพขนาดย่อของวิดีโอ,Video küçük resmi,Ảnh thu nhỏ video
action.add,Add,添加,新增,إضافة,Hinzufügen,Añadir,Ajouter,Tambahkan,Aggiungi,追加,추가,Toevoegen,Dodaj,Adicionar,Добавить,เพิ่ม,Ekle,Thêm
action.add_to_playlist,Add to Playlist,添加到播放列表,新增至播放清單,إضافة إلى قائمة التشغيل,Zur Wiedergabeliste hinzufügen,Añadir a la lista de reproducción,Ajouter à la liste de lecture,Tambahkan ke daftar putar,Aggiungi alla playlist,プレイリストに追加,재생 목록에 추가,Aan afspeellijst toevoegen,Dodaj do listy odtwarzania,Adicionar à lista de reprodução,Добавить в плейлист,เพิ่มในเพลย์ลิสต์,Çalma listesine ekle,Thêm vào danh sách phát
action.all_results,All Results,所有结果,所有結果,جميع النتائج,Alle Ergebnisse,Todos los resultados,Tous les résultats,Semua hasil,Tutti i risultati,すべての結果,모든 결과,Alle resultaten,Wszystkie wyniki,Todos os resultados,Все результаты,ผลลัพธ์ทั้งหมด,Tüm sonuçlar,Tất cả kết quả
action.back,Back,返回,返回,رجوع,Zurück,Atrás,Retour,Kembali,Indietro,戻る,뒤로,Terug,Wstecz,Voltar,Назад,กลับ,Geri,Quay lại
action.back_to_documentation,Back to Documentation,返回文档,返回文件,العودة إلى التوثيق,Zurück zur Dokumentation,Volver a la documentación,Retour à la documentation,Kembali ke Dokumentasi,Torna alla documentazione,ドキュメントに戻る,문서로 돌아가기,Terug naar documentatie,Wróć do dokumentacji,Voltar à documentação,Назад к документации,กลับไปยังเอกสาร,Dokümantasyona geri dön,Quay lại tài liệu
action.back_to_home_page,Back to Home Page,返回首页,返回首頁,العودة إلى الصفحة الرئيسية,Zurück zur Startseite,Volver a la página de inicio,Retour à la page d'accueil,Kembali ke Beranda,Torna alla home page,ホームページに戻る,홈페이지로 돌아가기,Terug naar de startpagina,Wróć do strony głównej,Voltar à página inicial,Вернуться на главную страницу,กลับไปหน้าแรก,Ana Sayfaya Dön,Quay lại trang chủ
action.back_to_login,Back to login,返回登录,返回登入,العودة إلى تسجيل الدخول,Zurück zur Anmeldung,Volver al inicio de sesión,Retour à la connexion,Kembali ke login,Torna al login,ログインに戻る,로그인으로 돌아가기,Terug naar inloggen,Powrót do logowania,Voltar ao login,Вернуться ко входу,กลับไปเข้าสู่ระบบ,Girişe geri dön,Quay lại đăng nhập
action.back_to_search,Back to Search,返回搜索,返回搜尋,العودة إلى البحث,Zurück zur Suche,Volver a la búsqueda,Retour à la recherche,Kembali ke pencarian,Torna alla ricerca,検索に戻る,검색으로 돌아가기,Terug naar zoeken,Wróć do wyszukiwania,Voltar à pesquisa,Назад к поиску,กลับไปที่การค้นหา,Aramaya geri dön,Quay lại tìm kiếm
action.browse,Browse,浏览,瀏覽,تصفح,Durchsuchen,Examinar,Parcourir,Jelajahi,Sfoglia,参照,찾아보기,Bladeren,Przeglądaj,Procurar,Обзор,เรียกดู,Gözat,Duyệt
action.browse_folder,Browse folder,浏览文件夹,瀏覽資料夾,تصفح المجلد,Ordner durchsuchen,Explorar carpeta,Parcourir le dossier,Jelajahi folder,Sfoglia la cartella,フォルダを選択,폴더 찾아보기,Map doorbladeren,Przeglądaj folder,Procurar pasta,Выбрать папку,เรียกดูโฟลเดอร์,Klasörü gözat,Duyệt thư mục
action.cancel,Cancel,取消,取消,إلغاء,Abbrechen,Cancelar,Annuler,Batal,Annulla,キャンセル,취소,Annuleren,Anuluj,Cancelar,Отмена,ยกเลิก,İptal,Hủy
action.cancel_auto_renewal,Cancel Auto-Renewal,取消自动续费,取消自動續訂,إلغاء التجديد التلقائي,Automatische Verlängerung abbrechen,Cancelar renovación automática,Annuler le renouvellement automatique,Batalkan Perpanjangan Otomatis,Annulla rinnovo automatico,自動更新をキャンセル,자동 갱신 취소,Automatische verlenging annuleren,Anuluj automatyczne odnawianie,Cancelar Renovação Automática,Отменить автопродление,ยกเลิกการต่ออายุอัตโนมัติ,Otomatik Yenilemeyi İptal Et,Hủy tự động gia hạn
action.change_language,Change language,切换语言,切換語言,تغيير اللغة,Sprache ändern,Cambiar idioma,Changer de langue,Ganti bahasa,Cambia lingua,言語を変更,언어 변경,Taal wijzigen,Zmień język,Mudar idioma,Сменить язык,เปลี่ยนภาษา,Dili değiştir,Đổi ngôn ngữ
action.clear,Clear,,,مسح,Löschen,Borrar,Effacer,Hapus,Cancella,クリア,지우기,Wissen,Wyczyść,Limpar,Очистить,ล้าง,Temizle,Xóa
action.clear_all,Clear All,全部清除,全部清除,مسح الكل,Alle löschen,Limpiar todo,Tout effacer,Hapus Semua,Cancella tutto,すべてクリア,모두 지우기,Alles wissen,Wyczyść wszystko,Limpar Tudo,Очистить всё,ล้างทั้งหมด,Tümünü Temizle,Xóa tất cả
action.clear_recent_searches,Clear,清除,清除,مسح,Löschen,Borrar,Effacer,Hapus,Cancella,消去,지우기,Wissen,Wyczyść,Limpar,Очистить,ล้าง,Temizle,Xoá
action.clear_words,Clear Words,清除单词,清除單詞,مسح الكلمات,Wörter Löschen,Borrar Palabras,Effacer les Mots,Hapus Kata-kata,Cancella Parole,単語を消去,단어 지우기,Woorden Wissen,Wyczyść Słowa,Limpar Palavras,Очистить Слова,ล้างคำศัพท์,Kelimeleri Temizle,Xóa Từ
action.close,Close,关闭,關閉,إغلاق,Schließen,Cerrar,Fermer,Tutup,Chiudi,閉じる,닫기,Sluiten,Zamknij,Fechar,Закрыть,ปิด,Kapat,Đóng
action.close_sidebar,Close sidebar,关闭侧边栏,關閉側邊欄,إغلاق الشريط الجانبي,Seitenleiste schließen,Cerrar barra lateral,Fermer la barre latérale,Tutup bilah samping,Chiudi barra laterale,サイドバーを閉じる,사이드바 닫기,Zijbalk sluiten,Zamknij pasek boczny,Fechar barra lateral,Закрыть боковую панель,ปิดแถบด้านข้าง,Kenar çubuğunu kapat,Đóng thanh bên
action.collapse_sidebar,Collapse sidebar,收起侧栏,收起側欄,طي الشريط الجانبي,Seitenleiste ausblenden,Ocultar barra lateral,Réduire la barre latérale,Ciutkan bilah sisi,Comprimi barra laterale,サイドバーを閉じる,사이드바 접기,Zijbalk inklappen,Zwiń panel boczny,Recolher barra lateral,Свернуть боковую панель,ย่อแถบข้าง,Kenar çubuğunu daralt,Thu gọn thanh bên
action.confirm,Confirm,确认,確認,تأكيد,Bestätigen,Confirmar,Confirmer,Konfirmasi,Conferma,確認,확인,Bevestigen,Potwierdź,Confirmar,Подтвердить,ยืนยัน,Onayla,Xác nhận
action.confirm_cancellation,Confirm Cancellation,确认取消,確定要取消嗎,تأكيد الإلغاء,Stornierung bestätigen,Confirmar cancelación,Confirmer l'annulation,Konfirmasi Pembatalan,Conferma cancellazione,キャンセルの確認,취소 확인,Annulering bevestigen,Potwierdź anulowanie,Confirmar Cancelamento,Подтвердить отмену,ยืนยันการยกเลิก,İptali Onayla,Xác nhận hủy
action.confirm_deletion,Confirm Deletion,确认删除,確定要刪除嗎,تأكيد الحذف,Löschung bestätigen,Confirmar eliminación,Confirmer la suppression,Konfirmasi Penghapusan,Conferma eliminazione,削除の確認,삭제 확인,Verwijdering bevestigen,Potwierdź usunięcie,Confirmar Exclusão,Подтвердить удаление,ยืนยันการลบ,Silme İşlemini Onayla,Xác nhận xóa
action.contact_us,Contact us,联系我们,聯絡我們,اتصل بنا,Kontakt,Contáctanos,Nous contacter,Hubungi kami,Contattaci,お問い合わせ,문의하기,Neem contact op,Skontaktuj się z nami,Fale conosco,Свяжитесь с нами,ติดต่อเรา,Bize Ulaşın,Liên hệ chúng tôi
action.continue,Continue,继续,繼續,متابعة,Weiter,Continuar,Continuer,Lanjutkan,Continua,続ける,계속,Doorgaan,Kontynuuj,Continuar,Продолжить,ดำเนินการต่อ,Devam Et,Tiếp tục
action.copy,Copy,复制,複製,نسخ,Kopieren,Copiar,Copier,Salin,Copia,コピー,복사,Kopiëren,Kopiuj,Copiar,Копировать,คัดลอก,Kopyala,Sao chép
action.create,Create,创建,建立,إنشاء,Erstellen,Crear,Créer,Buat,Crea,作成,만들기,Maken,Utwórz,Criar,Создать,สร้าง,Oluştur,Tạo
action.create_account,Create Account,创建账户,建立帳戶,إنشاء حساب,Konto erstellen,Crear cuenta,Créer un compte,Buat Akun,Crea account,アカウント作成,계정 만들기,Account aanmaken,Utwórz konto,Criar conta,Создать аккаунт,สร้างบัญชี,Hesap Oluştur,Tạo tài khoản
action.delete,Delete,删除,刪除,حذف,Löschen,Eliminar,Supprimer,Hapus,Elimina,削除,삭제,Verwijderen,Usuń,Excluir,Удалить,ลบ,Sil,Xóa
action.delete_account_permanently,Permanently Delete Account,永久删除账户,永久刪除帳戶,حذف الحساب نهائيًا,Konto dauerhaft löschen,Eliminar cuenta permanentemente,Supprimer définitivement le compte,Hapus Akun Secara Permanen,Elimina account definitivamente,アカウントを完全に削除,계정을 영구적으로 삭제,Account permanent verwijderen,Trwale usuń konto,Excluir conta permanentemente,Удалить аккаунт навсегда,ลบบัญชีอย่างถาวร,Hesabı kalıcı olarak sil,Xóa tài khoản vĩnh viễn
action.delete_all,Delete All,删除全部,刪除全部,حذف الكل,Alle löschen,Eliminar todo,Tout supprimer,Hapus Semua,Elimina tutto,すべて削除,모두 삭제,Alles verwijderen,Usuń wszystko,Excluir Tudo,Удалить всё,ลบทั้งหมด,Tümünü Sil,Xóa tất cả
action.delete_playlist,Delete Playlist,删除播放列表,刪除播放清單,حذف قائمة التشغيل,Wiedergabeliste löschen,Eliminar lista de reproducción,Supprimer la liste de lecture,Hapus daftar putar,Elimina playlist,プレイリストを削除,재생 목록 삭제,Afspeellijst verwijderen,Usuń listę odtwarzania,Excluir lista de reprodução,Удалить плейлист,ลบเพลย์ลิสต์,Çalma listesini sil,Xóa danh sách phát
action.didnt_know,Didn't know,,,لم أكن أعرف,Wusste nicht,No sabía,Je ne savais pas,Tidak tahu,Non lo sapevo,知らなかった,몰랐어요,Wist niet,Nie wiedziałem,Não sabia,Не знал(а),ไม่รู้,Bilmiyordum,Không biết
action.download,Download,下载,下載,تنزيل,Herunterladen,Descargar,Télécharger,Unduh,Scarica,ダウンロード,다운로드,Downloaden,Pobierz,Transferir,Скачать,ดาวน์โหลด,İndir,Tải xuống
action.edit,Edit,编辑,編輯,تعديل,Bearbeiten,Editar,Modifier,Edit,Modifica,編集,편집,Bewerken,Edytuj,Editar,Редактировать,แก้ไข,Düzenle,Chỉnh sửa
action.email_support,Email Support,邮件支持,電子郵件支持,دعم البريد الإلكتروني,E-Mail-Support,Soporte por Correo Electrónico,Support par E-mail,Dukungan Email,Supporto via Email,メールサポート,이메일 지원,E-mailondersteuning,Wsparcie E-mail,Suporte por E-mail,Поддержка по электронной почте,อีเมลสนับสนุน,E-posta Desteği,Hỗ trợ qua Email
action.etymology,Etymology,词源,詞源,أصل الكلمة,Etymologie,Etimología,Étymologie,Etimologi,Etimologia,語源,어원,Etymologie,Etymologia,Etimologia,Этимология,นิรุกติศาสตร์,Etimoloji,Từ nguyên
action.expand_sidebar,Expand sidebar,展开侧栏,展開側欄,توسيع الشريط الجانبي,Seitenleiste einblenden,Mostrar barra lateral,Afficher la barre latérale,Perluas bilah sisi,Espandi barra laterale,サイドバーを開く,사이드바 펼치기,Zijbalk uitklappen,Rozwiń panel boczny,Expandir barra lateral,Развернуть боковую панель,ขยายแถบข้าง,Kenar çubuğunu genişlet,Mở rộng thanh bên
action.explore_videos,Explore Videos,浏览视频,探索影片,استكشاف الفيديوهات,Videos erkunden,Explorar videos,Explorer les vidéos,Jelajahi Video,Esplora video,動画を探索,영상 탐색,Video's verkennen,Przeglądaj filmy,Explorar Vídeos,Изучать видео,สำรวจวิดีโอ,Videoları Keşfet,Khám phá video
action.export,Export,导出,匯出,تصدير,Exportieren,Exportar,Exporter,Ekspor,Esporta,エクスポート,내보내기,Exporteren,Eksportuj,Exportar,Экспорт,ส่งออก,Dışa Aktar,Xuất
action.fill_with_sample,Fill with sample,填入示例,填入範例,املأ بمثال,Mit Beispiel füllen,Rellenar con muestra,Remplir avec un échantillon,Isi dengan contoh,Compila con esempio,サンプルで埋める,샘플로 채우기,Vullen met voorbeeld,Wypełnij próbką,Preencher com amostra,Заполнить примером,เติมด้วยตัวอย่าง,Örnekle Doldur,Điền mẫu
action.forgot_password,Forgot password?,忘记密码？,忘記密碼？,نسيت كلمة المرور؟,Passwort vergessen?,¿Olvidaste tu contraseña?,Mot de passe oublié ?,Lupa kata sandi?,Password dimenticata?,パスワードをお忘れですか？,비밀번호를 잊으셨나요?,Wachtwoord vergeten?,Nie pamiętasz hasła?,Esqueceu a senha?,Забыли пароль?,ลืมรหัสผ่าน?,Şifrenizi mi unuttunuz?,Quên mật khẩu?
action.go_home,Go home,返回首页,返回首頁,العودة إلى الصفحة الرئيسية,Zur Startseite,Ir al inicio,Accueil,Ke beranda,Vai alla home,ホームに戻る,홈으로 가기,Naar startpagina,Przejdź do strony głównej,Ir para o início,На главную,ไปหน้าแรก,Ana sayfaya git,Về trang chủ
action.go_pro,Go Pro,升级专业版,升級專業版,النسخة الاحترافية,Pro werden,Hazte Pro,Passer Pro,Jadi Pro,Diventa Pro,プロにアップグレード,프로로 업그레이드,Word Pro,Przejdź na Pro,Torne-se Pro,Перейти на Pro,อัปเกรดเป็น Pro,Pro'ya Geç,Nâng cấp Pro
action.go_to_language_selection,Go to language selection,前往语言选择,前往語言選擇,الذهاب إلى اختيار اللغة,Zur Sprachauswahl,Ir a selección de idioma,Aller à la sélection de langue,Pergi ke pemilihan bahasa,Vai alla selezione della lingua,言語選択へ,언어 선택으로 이동,Ga naar taalkeuze,Przejdź do wyboru języka,Ir para seleção de idioma,Перейти к выбору языка,ไปที่การเลือกภาษา,Dil seçimine git,Đi đến chọn ngôn ngữ
action.go_to_page,Go to page,跳转到页面,跳轉到頁面,الذهاب إلى الصفحة,Gehe zu Seite,Ir a la página,Aller à la page,Pergi ke halaman,Vai alla pagina,ページに移動,페이지로 이동,Ga naar pagina,Przejdź do strony,Ir para a página,Перейти на страницу,ไปที่หน้า,Sayfaya git,Đi tới trang
action.grant_admin,Grant Admin,授予管理员,授予管理員,منح صلاحية المسؤول,Admin-Rechte gewähren,Conceder administrador,Accorder les droits admin,Berikan admin,Concedi amministratore,管理者権限を付与,관리자 권한 부여,Beheerdersrechten geven,Przyznaj uprawnienia administratora,Conceder administrador,Назначить администратором,ให้สิทธิ์ผู้ดูแลระบบ,Yönetici ver,Cấp quyền quản trị
action.grant_subscription,Grant Subscription,授予订阅,授予訂閱,منح اشتراك,Abonnement gewähren,Conceder suscripción,Accorder un abonnement,Berikan langganan,Concedi abbonamento,サブスクリプションを付与,구독 부여,Abonnement toekennen,Przyznaj subskrypcję,Conceder assinatura,Выдать подписку,ให้การสมัครสมาชิก,Abonelik ver,Cấp đăng ký
action.hide_sidebar,Hide sidebar,隐藏侧栏,隱藏側欄,إخفاء الشريط الجانبي,Seitenleiste ausblenden,Ocultar barra lateral,Masquer la barre latérale,Sembunyikan bilah sisi,Nascondi barra laterale,サイドバーを隠す,사이드바 숨기기,Zijbalk verbergen,Ukryj pasek boczny,Ocultar barra lateral,Скрыть боковую панель,ซ่อนแถบด้านข้าง,Kenar çubuğunu gizle,Ẩn thanh bên
action.inflection,Inflection,屈折变化,屈折變化,التصريف,Flexion,Flexión,Flexion,Infleksi,Flessione,活用,굴절,Flexie,Odmiana,Flexão,Словоизменение,การผันรูป,Çekim,Biến cách
action.keep_account,Keep Account,保留账户,保留帳號,الاحتفاظ بالحساب,Konto behalten,Mantener cuenta,Conserver le compte,Simpan Akun,Mantieni account,アカウントを保持する,계정 유지,Account behouden,Zachowaj konto,Manter Conta,Сохранить аккаунт,เก็บบัญชี,Hesabı Sakla,Giữ tài khoản
action.keep_subscription,Keep Subscription,保留订阅,保留訂閱,الاحتفاظ بالاشتراك,Abonnement behalten,Mantener suscripción,Conserver l'abonnement,Simpan Langganan,Mantieni abbonamento,サブスクリプションを保持する,구독 유지,Abonnement behouden,Zachowaj subskrypcję,Manter Assinatura,Сохранить подписку,เก็บการสมัครสมาชิก,Aboneliği Sakla,Giữ đăng ký
action.knew_it,Knew it,,,كنت أعرف,Wusste es,Lo sabía,Je le savais,Sudah tahu,Lo sapevo,知っていた,알았어요,Wist het,Wiedziałem,Sabia,Знал(а),รู้แล้ว,Biliyordum,Biết rồi
action.let_ai_explain,Let DeepSeek Explain,让 DeepSeek 解释,讓 DeepSeek 解釋,دع DeepSeek يشرح,Von DeepSeek erklären lassen,Que DeepSeek lo explique,Laissez DeepSeek expliquer,Biarkan DeepSeek Menjelaskan,Chiedi a DeepSeek di spiegare,DeepSeekに説明させる,DeepSeek에게 설명 요청,Laat DeepSeek het uitleggen,Pozwól DeepSeek wyjaśnić,Deixe o DeepSeek Explicar,Пусть DeepSeek объяснит,ให้ DeepSeek อธิบาย,DeepSeek Açıklasın,Để DeepSeek giải thích
action.let_chatgpt_explain,Ask AI,询问人工智能,問問AI,اسأل الذكاء الاصطناعي,KI fragen,Preguntar a la IA,Demander à l'IA,Tanya AI,Chiedi all'IA,AIに質問する,AI에 물어보기,Vraag AI,Zapytaj AI,Perguntar à IA,Спросить ИИ,ถาม AI,AI'ye Sor,Hỏi AI
action.like_video,Like video,喜欢视频,喜歡影片,أعجبني الفيديو,Video gefällt mir,Me gusta el video,J'aime la vidéo,Sukai video,Mi piace il video,動画をいいね,동영상 좋아요,Video leuk vinden,Polub film,Curtir vídeo,Нравится видео,ถูกใจวิดีโอ,Videoyu beğen,Thích video
action.list_all,List All,列出全部,全部列出來,عرض الكل,Alle auflisten,Listar todo,Lister tout,Daftar Semua,Elenca tutto,すべてをリスト,모두 나열,Alles tonen,Wyświetl wszystko,Listar Todos,Показать все,แสดงทั้งหมด,Tümünü Listele,Liệt kê tất cả
action.load,Load,加载,載入,تحميل,Laden,Cargar,Charger,Muat,Carica,読み込み,불러오기,Laden,Wczytaj,Carregar,Загрузить,โหลด,Yükle,Tải
action.load_more,Load More,加载更多,載入更多,تحميل المزيد,Mehr laden,Cargar más,Charger plus,Muat lebih banyak,Carica altro,もっと読み込む,더 보기,Meer laden,Wczytaj więcej,Carregar mais,Загрузить ещё,โหลดเพิ่มเติม,Daha fazla yükle,Tải thêm
action.log_in,Log In,登录,登入,تسجيل الدخول,Anmelden,Iniciar sesión,Se connecter,Masuk,Accedi,ログイン,로그인,Inloggen,Zaloguj się,Entrar,Войти,เข้าสู่ระบบ,Giriş Yap,Đăng nhập
action.log_out,Log Out,退出登录,登出,تسجيل الخروج,Abmelden,Cerrar sesión,Se déconnecter,Keluar,Esci,ログアウト,로그아웃,Uitloggen,Wyloguj się,Sair,Выйти,ออกจากระบบ,Çıkış Yap,Đăng xuất
action.login,Login,登录,登入,تسجيل الدخول,Anmelden,Iniciar sesión,Connexion,Masuk,Accedi,ログイン,로그인,Inloggen,Zaloguj się,Entrar,Войти,เข้าสู่ระบบ,Giriş Yap,Đăng nhập
action.logout,Logout,退出登录,登出,تسجيل الخروج,Abmelden,Cerrar sesión,Déconnexion,Keluar,Esci,ログアウト,로그아웃,Uitloggen,Wyloguj się,Sair,Выйти,ออกจากระบบ,Çıkış Yap,Đăng xuất
action.more,More,更多,更多,المزيد,Mehr,Más,Plus,Lainnya,Altro,その他,더보기,Meer,Więcej,Mais,Ещё,เพิ่มเติม,Daha Fazla,Thêm
action.morphemes,Morphemes,语素,語素,المورفيمات,Morpheme,Morfemas,Morphèmes,Morfem,Morfemi,形態素,형태소,Morfemen,Morfemy,Morfemas,Морфемы,หน่วยคำ,Biçimbirimler,Hình vị
action.my_notes,My Notes,我的笔记,我的筆記,ملاحظاتي,Meine Notizen,Mis notas,Mes notes,Catatan Saya,Le mie note,マイノート,내 노트,Mijn notities,Moje notatki,Minhas notas,Мои заметки,บันทึกของฉัน,Notlarım,Ghi chú của tôi
action.new_note,New Note,新建笔记,新建筆記,ملاحظة جديدة,Neue Notiz,Nueva Nota,Nouvelle Note,Catatan Baru,Nuova Nota,新しいノート,새 노트,Nieuwe Notitie,Nowa Notatka,Nova Nota,Новая Заметка,บันทึกใหม่,Yeni Not,Ghi Chú Mới
action.new_playlist,New Playlist,新建播放列表,新增播放清單,قائمة تشغيل جديدة,Neue Wiedergabeliste,Nueva lista de reproducción,Nouvelle liste de lecture,Daftar putar baru,Nuova playlist,新しいプレイリスト,새 재생 목록,Nieuwe afspeellijst,Nowa lista odtwarzania,Nova lista de reprodução,Новый плейлист,เพลย์ลิสต์ใหม่,Yeni çalma listesi,Danh sách phát mới
action.next,Next,下一步,下一步,التالي,Weiter,Siguiente,Suivant,Berikutnya,Avanti,次へ,다음,Volgende,Dalej,Próximo,Далее,ถัดไป,Sonraki,Tiếp theo
action.next_chapter,Next,下一章,下一章,التالي,Weiter,Siguiente,Suivant,Berikutnya,Successivo,次へ,다음,Volgende,Następny,Próximo,Далее,ถัดไป,Sonraki,Tiếp
action.not_interested,Not Interested,不感兴趣,不感興趣,غير مهتم,Nicht interessiert,No me interesa,Pas intéressé(e),Tidak Tertarik,Non mi interessa,興味なし,관심 없음,Niet geïnteresseerd,Nie interesuje mnie,Não Tenho Interesse,Не интересно,ไม่สนใจ,İlgilenmiyorum,Không quan tâm
action.open,Open,打开,開啟,فتح,Öffnen,Abrir,Ouvrir,Buka,Apri,開く,열기,Openen,Otwórz,Abrir,Открыть,เปิด,Aç,Mở
