action.logout,Logout,退出登录,登出,Teken uit,تسجيل الخروج,Tancar sessió,Abmelden,Αποσύνδεση,Cerrar sesión,Kirjaudu ulos,Déconnexion,Logáil amach,लॉग आउट करें,Odjava,Kijelentkezés,Keluar,Esci,ログアウト,로그아웃,Uitloggen,Logg ut,Wyloguj się,Sair,Deconectare,Выйти,Odjavi se,Logga ut,Toka,ออกจากระบบ,Çıkış Yap,Đăng xuất
action.next,Next,下一步,下一步,Volgende,التالي,Següent,Weiter,Επόμενο,Siguiente,Seuraava,Suivant,Ar aghaidh,अगला,Sljedeće,Következő,Berikutnya,Avanti,次へ,다음,Volgende,Neste,Dalej,Próximo,Următorul,Далее,Sledeće,Nästa,Ifuatayo,ถัดไป,Sonraki,Tiếp theo
action.register,Register,注册,註冊,Registreer,التسجيل,Registrar-se,Registrieren,Εγγραφή,Registrarse,Rekisteröidy,S'inscrire,Cláraigh,रजिस्टर करें,Registracija,Regisztráció,Daftar,Registrati,登録,회원가입,Registreren,Registrer,Zarejestruj się,Registrar,Înregistrare,Регистрация,Registruj se,Registrera,Jisajili,ลงทะเบียน,Kayıt Ol,Đăng ký
action.resend_code,Resend Code,重新发送验证码,重發驗證碼,Stuur kode weer,إعادة إرسال الرمز,Reenviar codi,Code erneut senden,Επαναποστολή κωδικού,Reenviar código,Lähetä koodi uudelleen,Renvoyer le code,Athsheoladh cód,कोड पुनः भेजें,Ponovno pošalji kod,Kód újraküldése,Kirim Ulang Kode,Reinvia codice,コードを再送する,코드 재전송,Code opnieuw verzenden,Send kode på nytt,Wyślij kod ponownie,Reenviar Código,Retrimite codul,Отправить код повторно,Ponovo pošalji kod,Skicka kod igen,Tuma Msimbo Tena,ส่งรหัสอีกครั้ง,Kodu Yeniden Gönder,Gửi lại mã
action.speak,Speak,朗读,唸出來,Praat,تحدث,Parlar,Sprechen,Ομιλία,Hablar,Puhu,Parler,Labhair,बोलें,Govori,Beszéljen,Bicara,Parla,話す,말하기,Spreken,Snakk,Mów,Falar,Vorbește,Говорить,Govori,Tala,Sema,พูด,Konuş,Nói
action.start_learning,Start Learning,开始学习,開始學習囉,Begin leer,ابدأ التعلم,Començar a aprendre,Lernen beginnen,Ξεκινήστε την εκμάθηση,Comenzar a aprender,Aloita oppiminen,Commencer à apprendre,Tosaigh ag foghlaim,सीखना प्रारंभ करें,Započni učenje,Tanulás megkezdése,Mulai Belajar,Inizia a imparare,学習を開始する,학습 시작,Begin met leren,Start læring,Rozpocznij naukę,Começar a Aprender,Începe să înveți,Начать обучение,Počni da učiš,Börja lära dig,Anza Kujifunza,เริ่มเรียนรู้,Öğrenmeye Başla,Bắt đầu học
action.tv_shows,TV Shows,电视节目,電視節目,TV-programme,البرامج التلفزيونية,Programes de TV,TV-Sendungen,Τηλεοπτικές εκπομπές,Programas de TV,TV-ohjelmat,Émissions de télévision,Cláir theilifíse,टीवी शो,TV emisije,TV-műsorok,Acara TV,Programmi TV,テレビ番組,TV 프로그램,TV-programma's,TV-serier,Programy TV,Programas de TV,Programe TV,Телешоу,TV emisije,TV-program,Vipindi vya TV,รายการทีวี,TV Şovları,Chương trình TV
action.upgrade,Upgrade,升级,升級,Opgradeer,ترقية,Actualitzar,Upgraden,Αναβάθμιση,Actualizar,Päivitä,Mettre à jour,Uasghrádaigh,अपग्रेड करें,Nadogradi,Frissítés,Tingkatkan,Aggiorna,アップグレード,업그레이드,Upgraden,Oppgrader,Ulepsz,Atualizar,Upgrade,Обновить,Nadogradi,Uppgradera,Boresha,อัพเกรด,Yükselt,Nâng cấp
action.upgrade_to_pro,Upgrade to Pro,升级到专业版,升級成專業版,Opgradeer na Pro,الترقية إلى النسخة المتقدمة,Actualitzar a Pro,Auf Pro upgraden,Αναβάθμιση σε επαγγελματική έκδοση,Actualizar a Pro,Päivitä Pro-versioon,Passer à la version Pro,Uasghrádaigh go Pro,प्रो में अपग्रेड करें,Nadogradi na Pro,Frissítés Pro-ra,Tingkatkan ke Pro,Passa a Pro,Proにアップグレードする,프로로 업그레이드,Upgraden naar Pro,Oppgrader til Pro,Przejdź na wersję Pro,Atualizar para Pro,Upgrade la Pro,Обновить до Pro,Nadogradi na Pro,Uppgradera till Pro,Boresha hadi Pro,อัพเกรดเป็น Pro,Pro'ya Yükselt,Nâng cấp lên Pro
action.verify,Verify,验证,驗證,Verifieer,التحقق,Verificar,Verifizieren,Επαλήθευση,Verificar,Vahvista,Vérifier,Deimhnigh,सत्यापित करें,Potvrdi,Ellenőrzés,Verifikasi,Verifica,確認する,확인,Verifiëren,Bekreft,Zweryfikuj,Verificar,Verifică,Подтвердить,Potvrdi,Verifiera,Thibitisha,ยืนยัน,Doğrula,Xác minh
action.watch,Watch,观看,看看,Kyk,مشاهدة,Mirar,Ansehen,Παρακολούθηση,Ver,Katso,Regarder,Féach,देखें,Gledaj,Megtekintés,Tonton,Guarda,見る,보기,Bekijken,Se,Oglądaj,Assistir,Vizionează,Смотреть,Gledaj,Titta,Tazama,ดู,İzle,Xem
button.email_support,Email Support,发邮件给客服,寄信給客服,E-pos Ondersteuning,,,,,,,,,,,,,,,,,,,,,,,,,,,
button.processing,Processing...,处理中...,處理中喔...,Besig...,,,,,,,,,,,,,,,,,,,,,,,,,,,
button.purchase,Purchase,购买,買啦,Koop,,,,,,,,,,,,,,,,,,,,,,,,,,,
button.switch_to_lifetime,Switch to Lifetime,切换到终身计划,改成終身方案,Skakel oor na Lewenslank,,,,,,,,,,,,,,,,,,,,,,,,,,,
chatgpt.prompt.base,"Succinctly explain using {{l1Name}}, what the {{l2Name}} ({{l2Code}}) word '{{word}}' means in the phrase '{{text}}'.","使用{{l1Name}}简洁地解释{{l2Name}}（{{l2Code}}）单词""{{word}}""在短语""{{text}}""中的含义。",用{{l1Name}}簡單說明{{l2Name}}（{{l2Code}}）單字「{{word}}」在「{{text}}」這句話裡是什麼意思。,Verduidelik kortliks in {{l1Name}} wat die {{l2Name}} ({{l2Code}}) woord '{{word}}' in die frase '{{text}}' beteken.,اشرح باختصار باستخدام {{l1Name}} ماذا تعني كلمة {{l2Name}} ({{l2Code}}) '{{word}}' في العبارة '{{text}}'.,Explica breument en {{l1Name}} què significa la paraula {{l2Name}} ({{l2Code}}) '{{word}}' a la frase '{{text}}'.,"Erkläre kurz auf {{l1Name}}, was das {{l2Name}} ({{l2Code}}) Wort '{{word}}' in der Phrase '{{text}}' bedeutet.","Συνοπτική εξήγηση χρησιμοποιώντας {{l1Name}}, τι σημαίνει η λέξη {{l2Name}} ({{l2Code}}) '{{word}}' στη φράση '{{text}}'.",Explica brevemente en {{l1Name}} qué significa la palabra {{l2Name}} ({{l2Code}}) '{{word}}' en la frase '{{text}}'.,"Selitä lyhyesti {{l1Name}} kielellä, mitä {{l2Name}} ({{l2Code}}) sana '{{word}}' tarkoittaa lauseessa '{{text}}'.",Expliquez succinctement en {{l1Name}} ce que signifie le mot {{l2Name}} ({{l2Code}}) '{{word}}' dans la phrase '{{text}}'.,Mínigh go hachomair i {{l1Name}} cad is brí leis an bhfocal {{l2Name}} ({{l2Code}}) '{{word}}' sa fhrása '{{text}}'.,संक्षेप में समझाएँ कि {{l1Name}} का उपयोग करके {{l2Name}} ({{l2Code}}) शब्द '{{word}}' वाक्यांश '{{text}}' में क्या अर्थ रखता है।,Ukratko objasni na {{l1Name}} što znači {{l2Name}} ({{l2Code}}) riječ '{{word}}' u frazi '{{text}}'.,"Röviden magyarázd el {{l1Name}} nyelven, mit jelent a {{l2Name}} ({{l2Code}}) szó a '{{word}}' kifejezésben '{{text}}'.","Jelaskan secara singkat menggunakan {{l1Name}}, apa arti kata {{l2Name}} ({{l2Code}}) '{{word}}' dalam frasa '{{text}}'.",Spiega brevemente in {{l1Name}} cosa significa la parola {{l2Name}} ({{l2Code}}) '{{word}}' nella frase '{{text}}'.,{{l1Name}}を使用して、{{l2Name}} ({{l2Code}}) の単語 '{{word}}' が句 '{{text}}' で何を意味するかを簡潔に説明してください。,{{l1Name}}로 {{l2Name}} ({{l2Code}}) 단어 '{{word}}'가 '{{text}}' 문구에서 무슨 뜻인지 간단히 설명해주세요.,Leg kort uit in het {{l1Name}} wat het {{l2Name}} ({{l2Code}}) woord '{{word}}' betekent in de zin '{{text}}'.,Forklar kortfattet ved hjelp av {{l1Name}} hva {{l2Name}} ({{l2Code}}) ordet '{{word}}' betyr i setningen '{{text}}'.,"Wyjaśnij krótko w języku {{l1Name}}, co oznacza słowo {{l2Name}} ({{l2Code}}) '{{word}}' w wyrażeniu '{{text}}'.","Explique sucintamente usando {{l1Name}}, o que a palavra {{l2Name}} ({{l2Code}}) '{{word}}' significa na frase '{{text}}'.",Explică pe scurt în {{l1Name}} ce înseamnă cuvântul {{l2Name}} ({{l2Code}}) '{{word}}' în fraza '{{text}}'.,"Кратко объясните на {{l1Name}}, что означает слово {{l2Name}} ({{l2Code}}) '{{word}}' в фразе '{{text}}'.",Ukratko objasni na {{l1Name}} šta znači {{l2Name}} ({{l2Code}}) reč '{{word}}' u frazi '{{text}}'.,Förklara kortfattat med {{l1Name}} vad {{l2Name}} ({{l2Code}}) ordet '{{word}}' betyder i frasen '{{text}}'.,"Eleza kwa ufupi kwa kutumia {{l1Name}}, nini neno la {{l2Name}} ({{l2Code}}) '{{word}}' linamaanisha kwenye kifungu '{{text}}'.",อธิบายสั้นๆ เป็นภาษา{{l1Name}}ว่าคำภาษา{{l2Name}} ({{l2Code}}) '{{word}}' หมายถึงอะไรในวลี '{{text}}',"{{l1Name}} kullanarak kısaca açıklayın, {{l2Name}} ({{l2Code}}) kelimesi '{{word}}' ifadesinde ne anlama geliyor?",Giải thích ngắn gọn bằng {{l1Name}} ý nghĩa của từ {{l2Name}} ({{l2Code}}) '{{word}}' trong cụm từ '{{text}}'.
chatgpt.prompt.inflection,"Give its lemma, inflection, and morphology.",给出其词根、词形变化和词态。,講一下它的原型、變化和詞性。,"Gee sy lemma, verbuiging en morfologie.",أعط جذرها وتصريفها وبنيتها الصرفية.,"Dóna el seu lema, inflexió i morfologia.","Gib dessen Grundform, Flexion und Morphologie an.","Δώστε το λεξικό, την κλίση και τη μορφολογία του.","Proporciona su lema, flexión y morfología.","Anna sen perusmuoto, taivutus ja morfologia.","Donnez son lemme, sa flexion et sa morphologie.","Tabhair a bhunfhoirm, infhilleadh agus moirfeolaíocht.","इसके मूल रूप, परिवर्तन और रूप विज्ञान दें।","Navedi njezin osnovni oblik, promjenu i morfologiju.","Adja meg a szótövet, a ragozást és a morfológiát.","Berikan lema, infleksi, dan morfologinya.","Fornisci il suo lemma, flessione e morfologia.",その見出し語、屈折、形態論を与える。,"그 단어의 기본형, 어형 변화, 형태를 제시해주세요.","Geef de lemma, verbuiging en morfologie.","Oppgi lemma, bøyning og morfologi.","Podaj jego formę podstawową, odmianę i morfologię.","Forneça o lema, a inflexão e a morfologia.","Oferă forma de bază, flexiunea și morfologia sa.","Укажите его лемму, склонение и морфологию.","Navedi njen osnovni oblik, promenu i morfologiju.","Ange dess lemma, böjning och morfologi.","Toa lemma, mnyambuliko, na mofolojia.",ให้คำศัพท์พื้นฐาน การผันคำ และโครงสร้างทางไวยากรณ์,"Lemmasını, çekimini ve morfolojisini verin.","Cho biết dạng nguyên mẫu, biến thể và hình thái của nó."
duration.annual,Billed annually.,按年计费。,年繳喔。,Jaarliks gefaktureer.,يتم الدفع سنويًا.,Facturació anual.,Jährliche Abrechnung.,Χρεώνεται ετησίως.,Facturación anual.,Laskutetaan vuosittain.,Facturé annuellement.,Billeáilte go bliantúil.,वार्षिक बिल किया गया।,Naplata godišnje.,Évente számlázva.,Ditagih setiap tahun.,Fatturato annualmente.,毎年請求されます。,연간 요금 청구.,Jaarlijks gefactureerd.,Fakturert årlig.,Rozliczane rocznie.,Cobrado anualmente.,Facturat anual.,Счет ежегодно.,Naplaćuje se godišnje.,Faktureras årligen.,Inatozwa kila mwaka.,เรียกเก็บเงินรายปี,Yıllık faturalandırılır.,Thanh toán hàng năm.
duration.lifetime,Never Expires.,永不过期。,永久有效啦。,Verval nooit.,لا تنتهي أبدًا.,Mai caduca.,Läuft nie ab.,Ποτέ δεν λήγει.,Nunca caduca.,Ei vanhene koskaan.,N'expire jamais.,Ní théann as feidhm riamh.,कभी समाप्त नहीं होता।,Nikad ne ističe.,Soha nem jár le.,Tidak Pernah Kadaluarsa.,Non scade mai.,有効期限はありません。,만료되지 않음.,Verloopt nooit.,Utløper aldri.,Nigdy nie wygasa.,Nunca expira.,Nu expiră niciodată.,Никогда не истекает.,Nikad ne ističe.,Går aldrig ut.,Haiwezi Kuisha.,ไม่มีวันหมดอายุ,Asla sona ermez.,Không bao giờ hết hạn.
duration.monthly,Billed each month.,每月计费。,月繳喔。,Maandeliks gefaktureer.,يتم الدفع شهريًا.,Facturació mensual.,Monatliche Abrechnung.,Χρεώνεται κάθε μήνα.,Facturación mensual.,Laskutetaan kuukausittain.,Facturé chaque mois.,Billeáilte go míosúil.,प्रत्येक माह बिल किया गया।,Naplata mjesečno.,Havonta számlázva.,Ditagih setiap bulan.,Fatturato mensilmente.,毎月請求されます。,월간 요금 청구.,Maandelijks gefactureerd.,Fakturert hver måned.,Rozliczane miesięcznie.,Cobrado mensalmente.,Facturat lunar.,Счет ежемесячно.,Naplaćuje se mesečno.,Faktureras varje månad.,Inatozwa kila mwezi.,เรียกเก็บเงินรายเดือน,Aylık faturalandırılır.,Thanh toán hàng tháng.
email.body,Please describe your issue or question.,请描述您的问题或疑问。,請說明你遇到什麼問題或有什麼疑問。,Beskryf asseblief jou probleem of vraag.,,,,,,,,,,,,,,,,,,,,,,,,,,,
email.subject,Support Request,客服请求,客服幫幫忙,Ondersteuningsversoek,,,,,,,,,,,,,,,,,,,,,,,,,,,
error.cannot_open_url,Don't know how to open this URL:,不知道如何打开此URL：,不知道怎麼開這個網址耶：,Weet nie hoe om hierdie URL oop te maak nie:,,,,,,,,,,,,,,,,,,,,,,,,,,,
error.entry_not_found,Entry not found or dictionary not loaded,未找到条目或字典未加载,找不到這個詞或字典還沒載好,Inskrywing nie gevind of woordeboek nie gelaai nie,لم يتم العثور على الإدخال أو لم يتم تحميل القاموس,Entrada no trobada o diccionari no carregat,Eintrag nicht gefunden oder Wörterbuch nicht geladen,Η εγγραφή δεν βρέθηκε ή το λεξικό δεν φορτώθηκε,Entrada no encontrada o diccionario no cargado,Merkintää ei löytynyt tai sanakirjaa ei ladattu,Entrée introuvable ou dictionnaire non chargé,Níor aimsíodh an iontráil nó níor luchtaíodh an foclóir,प्रविष्टि नहीं मिली या शब्दकोश लोड नहीं हुआ,Unos nije pronađen ili rječnik nije učitan,Bejegyzés nem található vagy a szótár nem töltődött be,Entri tidak ditemukan atau kamus tidak dimuat,Voce non trovata o dizionario non caricato,エントリが見つからないか、辞書が読み込まれていません,항목을 찾을 수 없거나 사전이 로드되지 않았습니다,Item niet gevonden of woordenboek niet geladen,Oppføring ikke funnet eller ordbok ikke lastet,Nie znaleziono wpisu lub nie załadowano słownika,Entrada não encontrada ou dicionário não carregado,Intrarea nu a fost găsită sau dicționarul nu a fost încărcat,Запись не найдена или словарь не загружен,Unos nije pronađen ili rečnik nije učitan,Inlägg hittades inte eller ordlistan laddades inte,Kiingizo hakijapatikana au kamusi haijapakiwa,ไม่พบรายการหรือไม่ได้โหลดพจนานุกรม,Girdi bulunamadı veya sözlük yüklenmedi,Không tìm thấy mục nhập hoặc từ điển chưa được tải
error.failed_fetch_videos,Failed to fetch videos,获取视频失败,抓不到影片耶,Kon nie video's laai nie,فشل في جلب مقاطع الفيديو,Error en carregar vídeos,Fehler beim Abrufen der Videos,Αποτυχία λήψης βίντεο,Error al obtener videos,Videoiden lataaminen epäonnistui,Échec du chargement des vidéos,Theip ar fháil na bhfíseán,वीडियो प्राप्त करने में विफल,Neuspjelo dohvaćanje videozapisa,Videók letöltése sikertelen,Gagal memuat video,Impossibile caricare i video,ビデオの取得に失敗しました,동영상을 가져오지 못했습니다,Kon video's niet ophalen,Kunne ikke laste inn videoer,Nie udało się pobrać filmów,Falha ao buscar vídeos,Eșec la încărcarea videoclipurilor,Не удалось загрузить видео,Neuspelo preuzimanje videa,Kunde inte hämta videor,Kushindwa kupakia video,ไม่สามารถดึงวิดีโอได้,Videolar getirilemedi,Không thể tải video
error.failed_retrieve_password,Failed to retrieve stored password,检索存储的密码失败,找不到儲存的密碼耶,Kon nie gestoorde wagwoord herwin nie,فشل في استرجاع كلمة المرور المخزنة,Error en recuperar la contrasenya emmagatzemada,Fehler beim Abrufen des gespeicherten Passworts,Αποτυχία ανάκτησης αποθηκευμένου κωδικού πρόσβασης,Error al recuperar la contraseña almacenada,Tallennetun salasanan hakeminen epäonnistui,Échec de la récupération du mot de passe stocké,Theip ar aisghabháil na pasfhocail stóráilte,संग्रहीत पासवर्ड पुनर्प्राप्त करने में विफल,Neuspjelo dohvaćanje spremljene lozinke,A mentett jelszó visszakeresése sikertelen,Gagal mengambil kata sandi yang disimpan,Impossibile recuperare la password memorizzata,保存されたパスワードの取得に失敗しました,저장된 비밀번호를 검색하지 못했습니다,Kon opgeslagen wachtwoord niet ophalen,Kunne ikke hente lagret passord,Nie udało się pobrać zapisanego hasła,Falha ao recuperar a senha armazenada,Eșec la recuperarea parolei salvate,Не удалось получить сохраненный пароль,Neuspelo preuzimanje sačuvane lozinke,Kunde inte hämta lagrat lösenord,Kushindwa kupata nenosiri lililohifadhiwa,ไม่สามารถเรียกคืนรหัสผ่านที่บันทึกไว้,Saklanan şifre alınamadı,Không thể truy xuất mật khẩu đã lưu
error.failed_to_load_items,Failed to load items:,加载项目失败：,載入失敗：,Kon nie items laai nie:,فشل في تحميل العناصر:,Error en carregar elements:,Fehler beim Laden der Elemente:,Αποτυχία φόρτωσης στοιχείων:,Error al cargar elementos:,Kohteiden lataaminen epäonnistui:,Échec du chargement des éléments :,Theip ar luchtú na míreanna:,आइटम लोड करने में विफल:,Neuspjelo učitavanje stavki:,Elemek betöltése sikertelen:,Gagal memuat item:,Impossibile caricare gli elementi:,アイテムの読み込みに失敗しました:,항목을 로드하지 못했습니다:,Kon items niet laden:,Kunne ikke laste inn elementer:,Nie udało się załadować elementów:,Falha ao carregar itens:,Eșec la încărcarea elementelor:,Не удалось загрузить элементы:,Neuspelo učitavanje stavki:,Kunde inte ladda objekt:,Kushindwa kupakia vitu:,ไม่สามารถโหลดรายการได้:,Öğeler yüklenemedi:,Không thể tải các mục:
error.generic,Error,错误,出錯啦,Fout,خطأ,Error,Fehler,Σφάλμα,Error,Virhe,Erreur,Earráid,त्रुटि,Pogreška,Hiba,Kesalahan,Errore,エラー,오류,Fout,Feil,Błąd,Erro,Eroare,Ошибка,Greška,Fel,Hitilafu,ข้อผิดพลาด,Hata,Lỗi
error.language_not_selected,Language not selected,未选择语言,還沒選語言耶,Taal nie gekies nie,لم يتم اختيار اللغة,Idioma no seleccionat,Sprache nicht ausgewählt,Η γλώσσα δεν έχει επιλεγεί,Idioma no seleccionado,Kieltä ei valittu,Langue non sélectionnée,Níor roghnaíodh teanga,भाषा का चयन नहीं किया गया,Jezik nije odabran,Nyelv nincs kiválasztva,Bahasa belum dipilih,Lingua non selezionata,言語が選択されていません,언어가 선택되지 않았습니다,Taal niet geselecteerd,Språk ikke valgt,Nie wybrano języka,Idioma não selecionado,Limba nu a fost selectată,Язык не выбран,Jezik nije izabran,Språk ej valt,Lugha haijachaguliwa,ไม่ได้เลือกภาษา,Dil seçilmedi,Chưa chọn ngôn ngữ
error.occurred,An error occurred,发生错误,哎呀，出錯啦,'n Fout het voorgekom,,,,,,,,,,,,,,,,,,,,,,,,,,,
error.passwords_do_not_match,Passwords do not match,密码不匹配,密碼不一樣耶,Wagwoorde stem nie ooreen nie,كلمات المرور غير متطابقة,Les contrasenyes no coincideixen,Passwörter stimmen nicht überein,Οι κωδικοί πρόσβασης δεν ταιριάζουν,Las contraseñas no coinciden,Salasanat eivät täsmää,Les mots de passe ne correspondent pas,Ní hionann na pasfhocail,पासवर्ड मेल नहीं खाते,Lozinke se ne podudaraju,A jelszavak nem egyeznek,Kata sandi tidak cocok,Le password non corrispondono,パスワードが一致しません,비밀번호가 일치하지 않습니다,Wachtwoorden komen niet overeen,Passordene stemmer ikke overens,Hasła nie są zgodne,Senhas não coincidem,Parolele nu se potrivesc,Пароли не совпадают,Lozinke se ne podudaraju,Lösenorden matchar inte,Nenosiri halilingani,รหัสผ่านไม่ตรงกัน,Şifreler uyuşmuyor,Mật khẩu không khớp
error.registration_failed,Registration failed,注册失败,註冊失敗啦,Registrasie het misluk,فشل التسجيل,Error en el registre,Registrierung fehlgeschlagen,Η εγγραφή απέτυχε,Error en el registro,Rekisteröinti epäonnistui,Échec de l'inscription,Theip ar an gclárú,पंजीकरण विफल,Registracija nije uspjela,Regisztráció sikertelen,Pendaftaran gagal,Registrazione fallita,登録に失敗しました,등록에 실패했습니다,Registratie mislukt,Registrering mislyktes,Rejestracja nie powiodła się,Falha no registro,Înregistrarea a eșuat,Регистрация не удалась,Registracija nije uspela,Registrering misslyckades,Usajili umeshindikana,การลงทะเบียนล้มเหลว,Kayıt başarısız,Đăng ký thất bại
error.updating_progress,Error updating progress:,更新进度时出错：,更新進度時出錯啦：,Fout met opdatering van vordering:,خطأ في تحديث التقدم:,Error en actualitzar el progrés:,Fehler beim Aktualisieren des Fortschritts:,Σφάλμα κατά την ενημέρωση της προόδου:,Error al actualizar el progreso:,Virhe edistymisen päivittämisessä:,Erreur lors de la mise à jour de la progression :,Earráid agus dul chun cinn á nuashonrú:,प्रगति अपडेट करने में त्रुटि:,Pogreška pri ažuriranju napretka:,Hiba a folyamat frissítése közben:,Kesalahan memperbarui kemajuan:,Errore durante l'aggiornamento dei progressi:,進行状況の更新中にエラーが発生しました:,진행 상황 업데이트 오류:,Fout bij het bijwerken van de voortgang:,Feil ved oppdatering av fremdrift:,Błąd podczas aktualizacji postępu:,Erro ao atualizar progresso:,Eroare la actualizarea progresului:,Ошибка обновления прогресса:,Greška pri ažuriranju napretka:,Fel vid uppdatering av framsteg:,Hitilafu katika kusasisha maendeleo:,ข้อผิดพลาดในการอัปเดตความคืบหน้า:,İlerleme güncellenirken hata:,Lỗi khi cập nhật tiến trình:
